Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
11/30/2018,61639,10025,NY,New York-Newark-Jersey City,New York County,New York,0,1064000,-0.007647827,-0.021069096,-0.063380282,,,2017-12,2017-Q4,1138900,-0.065765212,2017-03
11/30/2018,84654,60657,IL,Chicago-Naperville-Elgin,Cook County,Chicago,1,354000,0.007112376,0.016657094,0.019291679,,,2018-11,2018-Q4,354000,0,2018-11
11/30/2018,61637,10023,NY,New York-Newark-Jersey City,New York County,New York,2,1380100,-0.007050867,-0.040797887,-0.131957985,,,2016-12,2016-Q4,1619900,-0.148033829,2013-11
11/30/2018,91982,77494,TX,Houston-The Woodlands-Sugar Land,Harris County,Katy,3,336000,-0.002671416,-0.006505027,0.047381546,,,2018-09,2018-Q3,338400,-0.007092199,2018-07
11/30/2018,84616,60614,IL,Chicago-Naperville-Elgin,Cook County,Chicago,4,433200,0.005337665,0.003009956,0.017140174,,,2018-11,2018-Q4,433200,0,2018-11
11/30/2018,93144,79936,TX,El Paso,El Paso County,El Paso,5,126500,0.001583531,0.016064257,0.048922056,,,2007-10,2007-Q4,132400,-0.044561934,2007-05
11/30/2018,91940,77449,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,6,180200,0.00501952,0.012928612,0.055653193,,,2018-11,2018-Q4,180200,0,2018-11
11/30/2018,91733,77084,TX,Houston-The Woodlands-Sugar Land,Harris County,Houston,7,171500,0.007638073,0.020833333,0.056685151,,,2018-11,2018-Q4,171500,0,2018-11
11/30/2018,61616,10002,NY,New York-Newark-Jersey City,New York County,New York,8,969200,-0.009099274,-0.031961646,-0.036293129,,,2017-10,2017-Q4,1010200,-0.040586023,2017-05
11/30/2018,61807,10467,NY,New York-Newark-Jersey City,Bronx County,New York,9,425400,0.004012273,0.019654842,0.120653319,,,2018-11,2018-Q4,425400,0,2018-11
11/30/2018,84640,60640,IL,Chicago-Naperville-Elgin,Cook County,Chicago,10,237400,0.002110595,-0.007109996,0.000421408,,,2007-01,2007-Q1,269900,-0.120414969,2004-08
11/30/2018,62037,11226,NY,New York-Newark-Jersey City,Kings County,New York,11,827800,0.002664729,0.002907681,0.1728535,,,2018-11,2018-Q4,827800,0,2018-11
