,id,neighbourhood_cleansed,zipcode,latitude,longitude,property_type,price,number_of_reviews,review_scores_rating,reviews_per_month,square_feet,potentian_annual_revenue
25,685600,Lawton Park,98199.0,47.65513059,-122.40781770000001,685600,75.0,8,100.0,0.47,250.0,10950.0
134,281208,Atlantic,98144.0,47.59379732,-122.30514879999998,281208,196.0,27,98.0,0.57,1300.0,28616.0
158,113951,Atlantic,98144.0,47.59704962,-122.2998868,113951,250.0,10,100.0,0.19,1.0,36500.0
211,143580,North Beacon Hill,98144.0,47.583786700000005,-122.3167697,143580,75.0,238,94.0,4.31,120.0,10950.0
263,609610,Columbia City,98144.0,47.56961535,-122.29395530000001,609610,90.0,15,95.0,0.36,730.0,13140.0
278,841274,Mount Baker,98144.0,47.58357241,-122.295901,841274,90.0,69,95.0,2.04,550.0,13140.0
317,9531,Fairmount Park,98136.0,47.55538926,-122.38473859999999,9531,165.0,26,100.0,0.54,1200.0,24090.0
390,689309,Broadview,98133.0,47.72272664,-122.35668429999998,689309,125.0,5,100.0,0.14,340.0,18250.0
391,1594313,Broadview,98133.0,47.71403266,-122.3559685,1594313,68.0,16,93.0,0.56,350.0,9928.0
392,1594219,Broadview,98133.0,47.71479712,-122.3558747,1594219,86.0,21,99.0,0.76,250.0,12556.0
399,233502,North Admiral,98126.0,47.57326556,-122.3743612,233502,60.0,1,90.0,0.02,800.0,8760.0
422,157939,Fairmount Park,98126.0,47.54778741,-122.37800159999998,157939,110.0,22,99.0,0.46,800.0,16060.0
504,670021,Olympic Hills,98125.0,47.72588166,-122.30106310000001,670021,54.0,11,76.0,0.27,250.0,7884.0
534,1063855,Mann,98122.0,47.61219763,-122.29777150000001,1063855,225.0,11,95.0,0.36,900.0,32850.0
574,1984962,Mann,98122.0,47.61286679999999,-122.2984791,1984962,295.0,22,96.0,1.07,1800.0,43070.0
600,639130,Madrona,98122.0,47.60974857,-122.2901086,639130,195.0,2,80.0,0.37,3.0,28470.0
701,973859,Minor,98122.0,47.60767478,-122.30561850000001,973859,115.0,81,96.0,2.62,850.0,16790.0
714,670009,Minor,98122.0,47.61240201,-122.3112072,670009,175.0,13,72.0,1.36,1300.0,25550.0
813,202174,North Beacon Hill,98122.0,47.59566143,-122.31801599999999,202174,159.0,14,96.0,0.33,1300.0,23214.0
864,7369,Broadway,98122.0,47.61539738,-122.32563959999999,7369,85.0,40,94.0,0.5,800.0,12410.0
980,1200829,Belltown,98121.0,47.614863899999996,-122.34398540000001,1200829,100.0,20,92.0,0.71,420.0,14600.0
1031,1493197,Belltown,98121.0,47.61792621,-122.3478335,1493197,275.0,22,95.0,0.78,770.0,40150.0
1067,24212,Belltown,98121.0,47.61539627,-122.34866370000002,24212,175.0,29,91.0,0.46,710.0,25550.0
1215,2267088,North Queen Anne,98119.0,47.64530245,-122.3609061,2267088,110.0,60,97.0,2.64,1200.0,16060.0
1216,108468,North Queen Anne,98119.0,47.64528801,-122.37264240000002,108468,395.0,2,100.0,0.04,3000.0,57670.0
1346,2203983,Columbia City,98118.0,47.56086617,-122.2861241,2203983,80.0,29,94.0,1.25,550.0,11680.0
1351,1223644,Columbia City,98118.0,47.55634092,-122.2839689,1223644,90.0,38,96.0,1.23,700.0,13140.0
1359,1455269,Columbia City,98118.0,47.56791474,-122.29073559999999,1455269,115.0,88,97.0,3.01,0.0,16790.0
1390,1097520,Mount Baker,98118.0,47.56904276,-122.282822,1097520,92.0,90,96.0,2.81,435.0,13432.0
1391,774659,Mount Baker,98118.0,47.56597401,-122.2841333,774659,105.0,40,97.0,1.08,800.0,15330.0
1452,566435,Crown Hill,98117.0,47.70155129,-122.36651129999998,566435,65.0,37,95.0,0.91,2750.0,9490.0
1462,493591,Crown Hill,98117.0,47.7029544,-122.3686115,493591,65.0,74,97.0,1.71,2.0,9490.0
1475,670262,Greenwood,98117.0,47.68942014,-122.3627423,670262,55.0,2,100.0,0.06,1300.0,8030.0
1505,218741,Loyal Heights,98117.0,47.68230928,-122.3787497,218741,90.0,115,95.0,2.66,183.0,13140.0
1598,254340,Phinney Ridge,98117.0,47.67716562,-122.36169280000001,254340,95.0,86,98.0,1.74,500.0,13870.0
1604,838764,Alki,98116.0,47.57700794,-122.411667,838764,240.0,17,96.0,0.5,1400.0,35040.0
1660,353110,North Admiral,98116.0,47.58002881,-122.3902511,353110,135.0,11,96.0,0.24,600.0,19710.0
1697,50233,Genesee,98116.0,47.56642871,-122.3808422,50233,165.0,20,100.0,0.36,800.0,24090.0
1771,637326,Maple Leaf,98115.0,47.69154323,-122.327288,637326,110.0,18,97.0,2.37,550.0,16060.0
1778,2197982,Maple Leaf,98115.0,47.69276713,-122.32864529999999,2197982,80.0,72,98.0,3.15,450.0,11680.0
1988,1049293,Stevens,98112.0,47.62865843,-122.30992659999998,1049293,125.0,7,94.0,1.14,500.0,18250.0
2013,1432713,Stevens,98112.0,47.62016661,-122.307855,1432713,120.0,142,93.0,4.85,750.0,17520.0
2019,1974131,Stevens,98112.0,47.62147326,-122.3116375,1974131,120.0,182,100.0,7.15,800.0,17520.0
2070,757840,East Queen Anne,98109.0,47.63152636,-122.3562828,757840,250.0,98,98.0,2.56,1800.0,36500.0
2077,781474,East Queen Anne,98109.0,47.64291211,-122.34468329999999,781474,85.0,1,90.0,0.03,300.0,12410.0
2099,1167507,East Queen Anne,98109.0,47.63192143,-122.3485203,1167507,110.0,61,97.0,1.93,500.0,16060.0
2142,1820794,East Queen Anne,98109.0,47.63033292,-122.34762690000001,1820794,99.0,106,99.0,4.37,600.0,14454.0
2185,48319,South Lake Union,98109.0,47.61974793,-122.33913100000001,48319,220.0,21,96.0,0.38,1200.0,32120.0
2256,363064,Lower Queen Anne,98109.0,47.62107188,-122.3531244,363064,90.0,37,97.0,2.13,1000.0,13140.0
2307,693956,Columbia City,98108.0,47.56252751,-122.29243980000001,693956,150.0,1,97.0,0.03,1400.0,21900.0
2309,9419,Georgetown,98108.0,47.550619700000006,-122.3201354,9419,90.0,79,91.0,1.19,200.0,13140.0
2312,226677,Georgetown,98108.0,47.54969071,-122.3186791,226677,70.0,48,93.0,0.95,170.0,10220.0
2348,20927,Adams,98107.0,47.67333939,-122.3951203,20927,89.0,244,97.0,3.64,400.0,12994.0
2355,1579615,Adams,98107.0,47.67582152,-122.3897101,1579615,97.0,44,98.0,1.55,485.0,14162.0
2412,227636,West Woodland,98107.0,47.66807053,-122.3620862,227636,120.0,131,97.0,2.59,800.0,17520.0
2431,1618842,West Woodland,98107.0,47.66524464,-122.3704095,1618842,95.0,115,99.0,4.79,450.0,13870.0
2445,843812,West Woodland,98107.0,47.67133442,-122.36579760000001,843812,180.0,10,96.0,0.29,1.0,26280.0
2592,506542,Wallingford,98105.0,47.658538899999996,-122.325818,506542,115.0,86,95.0,1.98,750.0,16790.0
2748,2309250,Bryant,98105.0,47.66975239,-122.28750790000001,2309250,189.0,23,100.0,1.16,2.0,27594.0
2890,1030411,Wallingford,98103.0,47.66540203,-122.3393869,1030411,200.0,3,100.0,0.16,2100.0,29200.0
2931,808811,Wallingford,98103.0,47.66521357,-122.336753,808811,175.0,45,90.0,1.58,1000.0,25550.0
2960,799882,Wallingford,98103.0,47.67084570000001,-122.3374666,799882,40.0,32,96.0,0.85,2000.0,5840.0
2965,873073,Wallingford,98103.0,47.65543135,-122.3334223,873073,175.0,4,95.0,0.43,1600.0,25550.0
2980,703058,Wallingford,98103.0,47.65243416,-122.3378533,703058,150.0,86,99.0,2.16,1200.0,21900.0
2988,1114695,Wallingford,98103.0,47.66121706,-122.33942420000001,1114695,245.0,38,95.0,1.22,1600.0,35770.0
3005,15108,Green Lake,98103.0,47.68826555,-122.3358555,15108,60.0,42,86.0,0.77,140.0,8760.0
3018,955506,Green Lake,98103.0,47.69044857,-122.3421874,955506,225.0,22,94.0,0.65,950.0,32850.0
3023,783061,Green Lake,98103.0,47.670306599999996,-122.3390952,783061,60.0,34,97.0,0.9,2000.0,8760.0
